epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3368,1.14646,4.19402,1.07877,0.02965,0.33394,0.07383,0.05277,0.95595,3.55959,0.9094,8.21759e-05,8.21759e-05,8.21759e-05
2,55.815,1.0623,2.54658,1.05481,0.88086,0.26578,0.30397,0.22128,0.97878,1.7491,0.99724,0.000162232,0.000162232,0.000162232
3,82.1805,1.02003,1.53852,1.06805,0.8692,0.40158,0.45855,0.33753,0.96386,1.03039,1.03268,0.000238988,0.000238988,0.000238988
4,108.682,1.01187,1.15494,1.06135,0.68394,0.55687,0.6157,0.45538,0.94999,0.82186,1.02363,0.00023515,0.00023515,0.00023515
5,133.836,0.98121,1.00296,1.04083,0.77022,0.67563,0.71463,0.53662,0.93111,0.69379,1.01319,0.0002302,0.0002302,0.0002302
6,160.302,0.97633,0.92242,1.03924,0.72377,0.72834,0.76955,0.57567,0.93417,0.64157,1.03368,0.00022525,0.00022525,0.00022525
7,186.453,0.96655,0.85469,1.0331,0.78552,0.78141,0.81024,0.60854,0.93193,0.64154,1.01534,0.0002203,0.0002203,0.0002203
8,211.893,0.95093,0.81436,1.02087,0.78611,0.79999,0.83081,0.60647,0.96129,0.60742,1.00935,0.00021535,0.00021535,0.00021535
9,237.087,0.9597,0.7973,1.02467,0.79851,0.83183,0.87073,0.65369,0.92055,0.56477,0.99094,0.0002104,0.0002104,0.0002104
10,263.343,0.94568,0.75752,1.0111,0.81888,0.86373,0.86941,0.64962,0.92426,0.52205,0.99308,0.00020545,0.00020545,0.00020545
11,289.865,0.94135,0.73284,1.01144,0.83578,0.85252,0.88362,0.66363,0.92052,0.52612,0.99106,0.0002005,0.0002005,0.0002005
12,315.263,0.94685,0.72289,1.01378,0.8168,0.8824,0.88327,0.65878,0.9413,0.5312,0.99481,0.00019555,0.00019555,0.00019555
13,340.387,0.94389,0.71382,1.01071,0.86432,0.88129,0.90065,0.67707,0.91823,0.51465,0.98431,0.0001906,0.0001906,0.0001906
14,367.059,0.93529,0.69794,1.00793,0.84443,0.88093,0.90871,0.67033,0.96791,0.51339,1.00045,0.00018565,0.00018565,0.00018565
15,393.234,0.92459,0.674,1.00256,0.8598,0.88017,0.90064,0.68088,0.91366,0.49883,0.9883,0.0001807,0.0001807,0.0001807
16,417.872,0.92956,0.68111,0.99855,0.88634,0.86811,0.90898,0.68787,0.92004,0.49877,0.98789,0.00017575,0.00017575,0.00017575
17,443.792,0.92614,0.66615,1.00286,0.86787,0.88471,0.9061,0.68184,0.91393,0.49587,0.98386,0.0001708,0.0001708,0.0001708
18,470.471,0.92841,0.65974,1.00248,0.89006,0.87375,0.91329,0.69425,0.92759,0.47446,0.98687,0.00016585,0.00016585,0.00016585
19,496.315,0.92527,0.65054,1.00131,0.88345,0.8901,0.91177,0.68663,0.92853,0.46691,0.99602,0.0001609,0.0001609,0.0001609
20,521.726,0.92204,0.65219,1.00362,0.89941,0.88622,0.91542,0.69147,0.92612,0.46478,0.99085,0.00015595,0.00015595,0.00015595
21,548.183,0.91516,0.63291,0.99638,0.89117,0.89179,0.90854,0.68773,0.91518,0.4473,0.98494,0.000151,0.000151,0.000151
